date,TotalCrime,month
2010/12/1,474342,Dec-10
2011/1/1,514642,Jan-11
2011/2/1,514330,Feb-11
2011/3/1,577984,Mar-11
2011/4/1,606573,Apr-11
2011/5/1,587937,May-11
2011/6/1,579194,Jun-11
2011/7/1,616523,Jul-11
2011/8/1,601347,Aug-11
2011/9/1,546062,Sep-11
2011/10/1,578517,Oct-11
2011/11/1,530472,Nov-11
2011/12/1,479808,Dec-11
2012/1/1,492535,Jan-12
2012/2/1,479179,Feb-12
2012/3/1,556825,Mar-12
2012/4/1,490100,Apr-12
2012/5/1,538746,May-12
2012/6/1,513119,Jun-12
2012/7/1,548430,Jul-12
2012/8/1,559429,Aug-12
2012/9/1,502359,Sep-12
2012/10/1,520269,Oct-12
2012/11/1,483102,Nov-12
2012/12/1,442047,Dec-12
2013/1/1,472529,Jan-13
2013/2/1,431382,Feb-13
2013/3/1,462274,Mar-13
2013/4/1,471476,Apr-13
2013/5/1,487366,May-13
2013/6/1,500337,Jun-13
2013/7/1,560263,Jul-13
2013/8/1,533991,Aug-13
2013/9/1,469689,Sep-13
2013/10/1,468153,Oct-13
2013/11/1,458449,Nov-13
2013/12/1,428844,Dec-13
